user_id,transaction_date,region,product_category,sale_amount,city,age,subscription,raw_timestamp,email,username,price,status,store_id
61,2025-02-19,East,Clothing,75.56,Delhi,21,Basic,2025-02-19 23:33:00,user61@mail.com,user_61,43.63,Pending,104
124,2025-05-15,North,Books,909.57,Kolkata,39,Premium,2025-05-15 17:54:00,user124@mail.com,user_124,103.42,Pending,105
57,2025-03-28,East,Books,221.3,Mumbai,53,Premium,2025-03-28 01:35:00,user57@mail.com,user_57,422.39,Cancelled,103
196,2025-05-14,North,Grocery,980.47,Pune,55,Premium,2025-05-14 18:02:00,,user_196,149.35,,103
176,2025-05-29,North,Furniture,136.52,Chennai,38,Basic,2025-05-29 01:06:00,user176@mail.com,user_176,247.89,Pending,105
130,2025-03-09,East,Grocery,908.2,Bengaluru,55,Free,2025-03-09 04:05:00,,user_130,378.16,Completed,103
273,2025-04-11,East,Furniture,240.6,Hyderabad,27,Premium,2025-04-11 10:52:00,user273@mail.com,user_273,,Cancelled,103
137,2025-01-19,South,Books,913.67,Jaipur,47,Free,2025-01-19 19:16:00,user137@mail.com,user_137,,Pending,105
58,2025-04-06,East,Clothing,328.15,Jaipur,38,Basic,2025-04-06 02:31:00,user58@mail.com,,303.62,Pending,104
58,2025-03-10,South,Books,727.51,Hyderabad,50,Basic,2025-03-10 12:37:00,,user_58,456.22,,103
15,2025-03-14,North,Books,484.97,Delhi,50,Basic,2025-03-14 00:16:00,user15@mail.com,user_15,188.68,Completed,103
134,2025-06-12,East,Grocery,78.61,Bengaluru,51,Premium,2025-06-12 22:37:00,user134@mail.com,user_134,191.05,Pending,103
252,2025-02-25,West,Furniture,936.09,Chennai,46,Basic,2025-02-25 07:37:00,user252@mail.com,user_252,294.65,Completed,103
19,2025-05-06,East,Electronics,166.05,Jaipur,43,Premium,2025-05-06 01:55:00,user19@mail.com,user_19,51.15,Completed,105
65,2025-04-16,South,Books,905.53,Pune,28,Basic,2025-04-16 19:23:00,user65@mail.com,user_65,436.84,Completed,102
249,2025-04-25,West,Clothing,787.1,Delhi,21,Basic,2025-04-25 19:25:00,user249@mail.com,,459.64,Pending,104
208,2025-01-01,West,Books,672.91,Bengaluru,55,Free,2025-01-01 00:42:00,user208@mail.com,,,Pending,102
6,2025-01-07,West,Furniture,754.17,Hyderabad,59,Basic,2025-01-07 22:54:00,user6@mail.com,user_6,416.25,Cancelled,104
283,2025-06-18,North,Electronics,865.64,Jaipur,22,Premium,2025-06-18 23:43:00,user283@mail.com,user_283,414.14,Cancelled,101
181,2025-01-06,North,Grocery,980.46,Chennai,60,Free,2025-01-06 09:08:00,user181@mail.com,user_181,324.3,Pending,101
